year,state,votes_margin
1976,Alabama,155100
1976,Alaska,27497
1976,Arizona,123040
1976,Arkansas,230701
1976,California,139960
1976,Colorado,123477
1976,Connecticut,71366
1976,Delaware,12681
1976,District of Columbia,109945
1976,Florida,166469
1976,Georgia,495666
1976,Hawaii,7372
1976,Idaho,77602
1976,Illinois,92974
1976,Indiana,169244
1976,Iowa,12933
1976,Kansas,72331
1976,Kentucky,83865
1976,Louisiana,73919
1976,Maine,4041
1976,Maryland,86951
1976,Massachusetts,399199
1976,Michigan,197028
1976,Minnesota,251045
1976,Mississippi,14483
1976,Missouri,70944
1976,Montana,24444
1976,Nebraska,125926
1976,Nevada,8794
1976,New Hampshire,38290
1976,New Jersey,65035
1976,New Mexico,10271
1976,New York,418252
1976,North Carolina,185405
1976,North Dakota,17606
1976,Ohio,9333
1976,Oklahoma,13266
1976,Oregon,1713
1976,Pennsylvania,123073
1976,Rhode Island,46387
1976,South Carolina,104658
1976,South Dakota,4437
1976,Tennessee,191910
1976,Texas,129019
1976,Utah,155798
1976,Vermont,22589
1976,Virginia,22658
1976,Washington,60409
1976,West Virginia,121138
1976,Wisconsin,35245
1976,Wyoming,30478
1980,Alabama,17462
1980,Alaska,44270
1980,Arizona,282845
1980,Arkansas,5123
1980,California,1440051
1980,Colorado,284255
1980,Connecticut,135478
1980,Delaware,5498
1980,District of Columbia,106918
1980,Florida,627476
1980,Georgia,236787
1980,Hawaii,5767
1980,Idaho,180507
1980,Illinois,376636
1980,Indiana,411459
1980,Iowa,167354
1980,Kansas,240662
1980,Kentucky,17857
1980,Louisiana,84400
1980,Maine,17548
1980,Maryland,45555
1980,Massachusetts,3829
1980,Michigan,253693
1980,Minnesota,80905
1980,Mississippi,11808
1980,Missouri,142999
1980,Montana,88782
1980,Nebraska,252790
1980,Nevada,88351
1980,New Hampshire,112841
1980,New Jersey,399193
1980,New Mexico,82953
1980,New York,90672
1980,North Carolina,39383
1980,North Dakota,114506
1980,Ohio,454131
1980,Oklahoma,293544
1980,Oregon,114154
1980,Pennsylvania,324332
1980,Rhode Island,43549
1980,South Carolina,11057
1980,South Dakota,94488
1980,Tennessee,4710
1980,Texas,629558
1980,Utah,315421
1980,Vermont,12676
1980,Virginia,237435
1980,Washington,215051
1980,West Virginia,33256
1980,Wisconsin,107261
1980,Wyoming,61273
1984,Alabama,320950
1984,Alaska,76370
1984,Arizona,347562
1984,Arkansas,196128
1984,California,1544490
